0	536	0	70000
32147	152	0	70000
32983	136	0	70000
32973	136	0	70000
33005	136	0	70000
32987	160	0	70000
32999	136	0	70000
32985	136	0	70000
33089	136	0	70000
33037	160	0	70000
33009	136	0	70000
32965	136	0	70000
33013	136	0	70000
33012	528	0	70000
32995	136	0	70000
32920	136	0	70000
32912	136	0	70000
33072	160	0	70000
32978	136	0	70000
33043	136	0	70000
33027	136	0	70000
33055	160	0	70000
32980	136	0	70000
32922	136	0	70000
32953	136	0	70000
32965	160	0	70000
33025	136	0	70000
32982	136	0	70000
32988	136	0	70000
33188	528	0	70000
32987	136	0	70000
32988	136	0	70000
32978	136	0	70000
33003	160	0	70000
33014	136	0	70000
33002	136	0	70000
32980	136	0	70000
33022	160	0	70000
32973	136	0	70000
33073	136	0	70000
32945	136	0	70000
32993	160	0	70000
33020	136	0	70000
33008	136	0	70000
32978	136	0	70000
32999	528	0	70000
33004	136	0	70000
33001	136	0	70000
33018	136	0	70000
32981	160	0	70000
32993	136	0	70000
33003	136	0	70000
32997	136	0	70000
33010	160	0	70000
32926	136	0	70000
32936	136	0	70000
32981	136	0	70000
32984	160	0	70000
33022	136	0	70000
32999	136	0	70000
32996	136	0	70000
33554	51024	0	70000
32500	448	0	70000
33028	1480	0	70000
33010	7888	0	70000
33732	61285	0	70000
484	65507	0	70000
32033	34656	0	70000
33209	34656	0	70000
32628	192	0	70000
33067	10578	0	70000
707	65507	0	70000
535	65507	0	70000
32184	41704	0	70000
32938	44288	0	70000
32663	224	0	70000
33154	2202	0	70000
643	65507	0	70000
543	65507	0	70000
31808	35208	0	70000
33001	35720	0	70000
32841	192	0	70000
33184	21327	0	70000
720	65507	0	70000
604	65507	0	70000
499	65507	0	70000
31415	46544	0	70000
32972	51360	0	70000
32968	47600	0	70000
32948	54741	0	70000
694	65507	0	70000
32339	41048	0	70000
32971	41048	0	70000
32829	50008	0	70000
32766	7162	0	70000
524	65507	0	70000
521	65507	0	70000
31936	208	0	70000
33493	57008	0	70000
32642	4685	0	70000
472	65507	0	70000
32514	12850	0	70000
520	65507	0	70000
482	65507	0	70000
