0	955	0	10000
770	955	0	10000
137	955	0	9486
98	955	0	9318
125	955	0	9365
135	955	0	9361
135	955	0	9428
116	955	0	9354
106	955	0	9232
98	955	0	9063
101	955	0	8915
81	955	0	8613
83	955	0	8330
102	955	0	8193
125	955	0	8241
106	955	0	8135
397	955	0	10000
119	955	0	9507
159	955	0	9377
117	955	0	9286
110	955	0	9213
103	955	0	9086
103	955	0	8960
91	955	0	8740
181	955	0	9243
85	955	0	8967
120	955	0	8976
141	955	0	9155
118	955	0	9146
106	955	0	9044
135	955	0	9171
189	955	0	9348
238	955	0	9416
161	955	0	9439
148	955	0	9508
119	955	0	9352
132	955	0	9461
108	955	0	9325
98	955	0	9157
101	955	0	9012
93	955	0	8809
97	955	0	8629
76	955	0	8286
132	955	0	8388
113	955	0	8339
106	955	0	8239
115	955	0	8211
111	955	0	8147
143	955	0	8341
92	955	0	8123
107	955	0	8030
78	955	0	7702
69	955	0	7304
61	955	0	6841
62	955	0	6385
59	955	0	5905
496	955	0	8930
2329	955	0	9605
175	955	0	9397
108	955	0	9287
87	955	0	9036
88	955	0	8785
119	955	0	8787
116	955	0	8760
118	955	0	8756
80	955	0	8447
108	955	0	8357
81	955	0	8053
91	955	0	7830
86	955	0	7565
93	955	0	7355
86	955	0	7093
84	955	0	6814
79	955	0	6491
82	955	0	6194
96	955	0	6015
110	955	0	5944
87	955	0	5692
97	955	0	5517
82	955	0	5221
92	955	0	5002
76	955	0	4660
86	955	0	4394
80	955	0	4087
91	955	0	3861
90	955	0	3630
92	955	0	3415
77	955	0	3082
102	955	0	2947
80	955	0	2635
77	955	0	2299
83	955	0	2011
77	955	0	1678
90	955	0	1447
99	955	0	1287
102	955	0	1149
95	955	0	961
92	955	0	743
226	955	955	2558
225	955	1910	4359
100	955	2865	5161
160	955	2865	5487
152	955	2865	5754
148	955	2865	5987
112	955	2865	5929
167	955	2865	6311
173	955	2865	6743
270	955	1910	6998
308	955	955	7553
140	955	955	7726
163	955	955	8079
130	955	955	8167
146	955	955	8383
138	955	955	8534
149	955	955	8775
151	955	955	9030
141	955	955	9206
147	955	955	9428
161	955	955	9727
136	955	955	9604
150	955	955	9723
166	955	955	9684
154	955	955	9690
150	955	955	9760
124	955	955	9639
154	955	955	9784
151	955	955	9786
226	955	955	10000
400	955	955	10000
106	955	1910	10000
93	955	2865	10000
168	955	2865	9879
319	955	2865	10000
86	955	3820	10000
79	955	4775	10000
136	955	5730	10000
62	955	6685	10000
63	955	7640	10000
53	955	7640	9334
309	955	5730	8945
375	955	5730	9925
255	955	5730	10000
155	955	4775	9210
98	955	955	5224
84	955	955	4942
75	955	1910	5545
72	955	2865	6121
90	955	3820	6848
95	955	955	3793
83	955	0	2551
85	955	0	2281
79	955	0	1961
84	955	0	1683
78	955	0	1358
81	955	0	1058
81	955	0	752
78	955	0	428
94	955	0	227
80	955	955	872
63	955	1910	1382
139	955	2865	2499
73	955	3820	3086
45	955	4775	3448
40	955	5730	3775
35	955	6685	4058
37	955	7640	4356
34	955	8595	4630
33	955	9550	4902
37	955	10505	5204
63	955	11460	5709
66	955	12415	6244
112	955	13370	7141
94	955	14325	7900
74	955	15280	8497
63	955	16235	9005
62	955	17190	9502
59	955	18145	9979
57	955	19100	10000
65	955	20055	10000
105	955	18145	7692
82	955	15280	4531
90	955	14325	3347
67	955	15280	3890
71	955	16235	4462
65	955	17190	4990
71	955	18145	5563
66	955	19100	6098
66	955	20055	6629
70	955	19100	5283
68	955	18145	3920
96	955	16235	1831
67	955	17190	2370
91	955	18145	3104
86	955	17190	1891
67	955	16235	510
61	955	17190	1005
63	955	18145	1513
61	955	19100	2007
61	955	20055	2502
60	955	21010	2986
150	955	21965	4194
70	955	22920	4752
66	955	23875	5285
87	955	24830	5988
76	955	25785	6597
61	955	26740	7092
48	955	27695	7478
50	955	28650	7878
589	955	18145	476
74	955	19100	1073
72	955	20055	1654
83	955	21010	2320
86	955	21965	3010
64	955	22920	3529
57	955	23875	3987
46	955	24830	4358
455	955	25785	8003
113	955	26740	8908
65	955	27695	9431
66	955	28650	9963
65	955	29605	10000
63	955	29605	8572
47	955	28650	7995
63	955	28650	7550
580	955	21010	3604
96	955	21965	4372
61	955	22920	4864
54	955	23875	5300
47	955	24830	5684
51	955	25785	6099
62	955	26740	6598
68	955	27695	7142
511	955	25785	7664
66	955	23875	5329
88	955	21965	3175
100	955	21010	2068
64	955	20055	673
49	955	21010	1071
39	955	21965	1389
42	955	22920	1728
544	955	23875	6083
72	955	24830	6664
37	955	25785	6964
85	955	26740	7653
56	955	27695	8103
49	955	28650	8499
51	955	29605	8912
47	955	30560	9294
579	955	21010	3428
61	955	21965	3919
72	955	22920	4500
71	955	23875	5073
69	955	24830	5628
86	955	25785	6319
78	955	26740	7016
290	955	27695	9273
290	955	18145	1095
59	955	19100	1570
47	955	20055	1945
48	955	21010	2336
65	955	21965	2859
62	955	22920	3362
39	955	23875	3674
36	955	24830	3967
677	955	25785	9464
82	955	26740	10000
42	955	27695	10000
33	955	28650	10000
33	955	29605	10000
38	955	29605	9077
39	955	29605	8439
45	955	29605	7846
633	955	21965	4318
78	955	22920	4947
49	955	23875	5341
47	955	24830	5722
66	955	25785	6248
71	955	26740	6823
55	955	27695	7265
41	955	28650	7599
616	955	23875	5885
89	955	21010	2781
41	955	19100	251
74	955	20055	844
47	955	21010	1226
37	955	21965	1524
35	955	22920	1809
28	955	23875	2036
598	955	24830	6827
62	955	25785	7323
67	955	26740	7865
72	955	27695	8443
46	955	28650	8811
44	955	29605	9168
24	955	30560	9364
22	955	31515	9547
691	955	21010	3103
61	955	21965	3590
37	955	22920	3889
32	955	23875	4147
33	955	24830	4419
30	955	25785	4664
29	955	26740	4901
26	955	27695	5114
737	955	26740	8540
65	955	24830	6197
42	955	23875	4622
50	955	22920	3114
100	955	21965	2005
61	955	21010	590
36	955	21965	884
21	955	22920	1058
660	955	23875	6342
84	955	24830	7020
31	955	25785	7272
26	955	26740	7487
20	955	27695	7649
91	955	28650	8387
89	955	26740	6237
122	955	22920	2443
494	955	21965	4492
49	955	22920	4885
27	955	23875	5100
72	955	24830	5683
51	955	25785	6093
37	955	26740	6395
31	955	27695	6650
30	955	28650	6891
690	955	21010	2791
56	955	19100	380
29	955	20055	611
21	955	21010	781
43	955	21965	1134
48	955	22920	1523
60	955	23875	2009
36	955	24830	2297
691	955	25785	7833
49	955	26740	8228
56	955	27695	8679
31	955	28650	8934
49	955	28650	8380
138	955	22920	2800
50	955	21010	335
32	955	21965	591
610	955	22920	5476
44	955	23875	5831
44	955	24830	6191
68	955	25785	6741
35	955	26740	7021
32	955	27695	7278
35	955	28650	7565
72	955	29605	8145
673	955	19100	2078
55	955	20055	2518
41	955	21010	2850
43	955	21965	3198
37	955	22920	3501
26	955	23875	3715
44	955	24830	4072
49	955	25785	4468
772	955	25785	9067
111	955	24830	8049
131	955	19100	2419
31	955	18145	759
20	955	19100	919
21	955	20055	1092
17	955	21010	1234
20	955	21965	1401
579	955	22920	6044
39	955	23875	6359
26	955	24830	6572
18	955	25785	6723
19	955	26740	6878
16	955	27695	7012
18	955	28650	7161
16	955	29605	7294
852	955	20055	2394
64	955	21010	2907
26	955	21965	3119
27	955	22920	3339
26	955	23875	3551
25	955	24830	3751
19	955	25785	3909
60	955	26740	4396
737	955	27695	10000
47	955	28650	10000
28	955	28650	9097
39	955	28650	8459
69	955	26740	6150
44	955	24830	3640
